File name;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
Namee only/vacuum_gripper_huggingface_zai-org_zai-org_GLM-4.5V_20260616_15_20_34;4,09236451417453;290,256812740789;975,839845678444;1295,069;1038,033;222,003;Yes;Yes;No
Namee only/vacuum_gripper_huggingface_zai-org_zai-org_GLM-4.5V_20260616_15_25_05;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_zai-org_zai-org_GLM-4.5V_20260616_15_26_21;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_zai-org_zai-org_GLM-4.5V_20260616_15_28_25;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_zai-org_zai-org_GLM-4.5V_20260616_15_32_22;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_zai-org_zai-org_GLM-4.5V_20260616_15_36_14;-1792,42307465396;2834,13613508733;72,3534344875443;1703,775;1616,765;16,46;Yes;No;No
Namee only/vacuum_gripper_huggingface_zai-org_zai-org_GLM-4.5V_20260616_15_39_47;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_zai-org_zai-org_GLM-4.5V_20260616_15_43_26;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_zai-org_zai-org_GLM-4.5V_20260616_15_48_31;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_zai-org_zai-org_GLM-4.5V_20260616_15_51_31;-;-;-;-;-;-;No;No;No

;x;y;r
HoughCircles;1294;1038;221
Cam_CS;8,79;290,11;971,43
Success tolerance px;6;6;6

File name;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
Full/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_11_14_47;4,49492291363774;290,182011092929;972,417072759221;1294,977;1038,016;221,225;Yes;Yes;No
Full/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_11_33_15;85,0587263406914;-1789,18895221216;2347,26643631701;1276,649;564,96;534,002;Yes;No;No
Full/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_11_41_27;4,32109395827508;289,928503348716;991,211077670518;1295,017;1037,959;225,5;Yes;Yes;No
Full/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_11_46_12;93,7278529739421;144,843648690042;2613,16757771383;1274,677;1004,952;594,495;Yes;No;No
Full/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_11_52_29;3409,43478929303;3493,38886943704;1401,29351804573;520,354;1766,745;318,794;Yes;No;No
Full/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_11_57_14;24,184689823331;269,666962523282;1035,7339137455;1290,498;1033,349;235,629;Yes;No;No
Full/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_03_47;5,65916565486046;285,731764959189;1025,13091249116;1294,712;1037,004;233,217;Yes;No;Yes
Full/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_08_01;51,2906696561868;322,211096972389;1853,7897925529;1284,331;1045,303;421,737;Yes;No;No
Full/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_20_01;5,66938401678752;285,966710115753;991,383140747559;1294,71;1037,057;225,539;Yes;Yes;Yes
Full/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_21_28;4,32109395827508;289,928503348716;991,211077670518;1295,017;1037,959;225,5;Yes;Yes;No

File name;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
Full/vacuum_gripper_huggingface_deepinfra_meta-llama_Llama-4-Scout-17B-16E-Instruct_20260630_17_09_04;-42,8458803168984;419,546069093355;3236,62706970444;1305,747;1067,447;736,332;Yes;No;No
Full/vacuum_gripper_huggingface_deepinfra_meta-llama_Llama-4-Scout-17B-16E-Instruct_20260630_17_09_31;-;-;-;-;-;-;No;No;No
Full/vacuum_gripper_huggingface_deepinfra_meta-llama_Llama-4-Scout-17B-16E-Instruct_20260630_17_09_57;-50,8960269423194;426,420231044719;3219,0242094471;1307,579;1069,011;732,327;Yes;No;No
Full/vacuum_gripper_huggingface_deepinfra_meta-llama_Llama-4-Scout-17B-16E-Instruct_20260630_17_10_21;-;-;-;-;-;-;No;No;No
Full/vacuum_gripper_huggingface_deepinfra_meta-llama_Llama-4-Scout-17B-16E-Instruct_20260630_17_10_56;-;-;-;-;-;-;No;No;No
Full/vacuum_gripper_huggingface_deepinfra_meta-llama_Llama-4-Scout-17B-16E-Instruct_20260630_17_11_20;-;-;-;-;-;-;No;No;No
Full/vacuum_gripper_huggingface_deepinfra_meta-llama_Llama-4-Scout-17B-16E-Instruct_20260630_17_11_56;-44,6058382077416;425,24126409943;3231,20283771708;1306,148;1068,742;735,098;Yes;No;No
Full/vacuum_gripper_huggingface_deepinfra_meta-llama_Llama-4-Scout-17B-16E-Instruct_20260630_17_12_20;-42,8458803168984;419,546069093355;3236,62706970444;1305,747;1067,447;736,332;Yes;No;No
Full/vacuum_gripper_huggingface_deepinfra_meta-llama_Llama-4-Scout-17B-16E-Instruct_20260630_17_12_44;-;-;-;-;-;-;No;No;No
Full/vacuum_gripper_huggingface_deepinfra_meta-llama_Llama-4-Scout-17B-16E-Instruct_20260630_17_13_10;-;-;-;-;-;-;No;No;No

File name;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
Full/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_11_31_51;-;-;-;-;-;-;No;No;No
Full/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_11_32_42;4,30138855137537;289,923573431744;968,927316587382;1295,021;1037,958;220,431;Yes;Yes;No
Full/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_11_34_02;-;-;-;-;-;-;No;No;No
