Results Summary — New Prompt — Name Only;;;;;;;;;;;
Model;Total;Detected;Succeeded;Success rate;Many-result runs;;;;;;
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_openai_gpt-5_20260717_13_36_44;Yes;1,456;292,075;956,39;1295,668;1038,447;217,578;Yes;Yes;Yes;
;;;;;;;;;;;
openai / gpt-5-mini;;;;;;;;;;;
File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results;Failure cause
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_15_37;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_18_18;Yes;6,041;288,912;980,189;1294,625;1037,727;222,993;Yes;Yes;No;
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_20_52;Yes;618,02;1156,807;3086,459;1155,4;1235,173;702,168;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_23_27;Yes;44,076;220,877;1311,319;1285,972;1022,249;298,325;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_25_07;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_26_52;Yes;-64,234;-88,985;714,07;1310,613;951,756;162,451;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_29_11;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_31_07;Yes;1376,82;3549,884;138,063;982,774;1779,598;31,409;Yes;No;Yes;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_32_00;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_33_59;Yes;6,158;288,658;980,696;1294,599;1037,67;223,108;Yes;Yes;No;
;;;;;;;;;;;
;;;;;;;;;;;
Detailed Results — New Prompt — Full Specs;;;;;;;;;;;
anthropic / claude-sonnet-4-5;;;;;;;;;;;
File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results;Failure cause
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_09_40_03;Yes;4,492;290,185;994,6;1294,978;1038,017;226,271;Yes;Yes;Yes;
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_09_45_49;Yes;4,494;290,071;971,68;1294,977;1037,991;221,057;Yes;Yes;No;
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_09_47_24;Yes;4,428;289,974;971,052;1294,992;1037,969;220,914;Yes;Yes;No;
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_09_48_17;Yes;4,299;289,918;968,912;1295,022;1037,956;220,427;Yes;Yes;No;
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_09_49_09;Yes;4,428;289,974;971,052;1294,992;1037,969;220,914;Yes;Yes;No;
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_09_49_46;Yes;4,428;289,974;971,052;1294,992;1037,969;220,914;Yes;Yes;No;
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_09_50_32;Yes;4,428;289,973;971,045;1294,992;1037,969;220,912;Yes;Yes;No;
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_09_51_18;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_09_53_20;No;-;-;-;-;-;-;No;No;No;No circles found
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_09_54_58;Yes;4,301;289,967;968,951;1295,021;1037,967;220,436;Yes;Yes;No;
;;;;;;;;;;;
openai / gpt-5;;;;;;;;;;;
File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results;Failure cause
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5_20260731_12_16_32;Yes;1,504;292,08;957,861;1295,657;1038,448;217,913;Yes;Yes;Yes;
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5_20260731_12_18_24;Yes;4,294;290,376;970,58;1295,023;1038,061;220,807;Yes;Yes;No;
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5_20260731_12_19_46;Yes;1752,751;331,276;125,772;897,25;1047,365;28,613;Yes;No;Yes;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5_20260731_12_23_07;Yes;5,56;286,463;991,165;1294,735;1037,17;225,49;Yes;Yes;No;
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5_20260731_12_24_59;Yes;1,458;292,507;958,034;1295,668;1038,545;217,952;Yes;Yes;No;
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5_20260731_12_27_33;Yes;-3,069;159,298;771,497;1296,698;1008,24;175,515;Yes;No;No;Outside ±6 px tolerance: y_px, r_px
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5_20260731_12_29_09;Yes;1,569;292,153;957,709;1295,643;1038,465;217,878;Yes;Yes;Yes;
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5_20260731_12_31_08;Yes;134,189;99,135;751,373;1265,472;994,553;170,937;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5_20260731_12_33_04;Yes;2,501;293,101;959,058;1295,431;1038,681;218,185;Yes;Yes;Yes;
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5_20260731_12_35_08;Yes;6,774;291,153;956,444;1294,459;1038,237;217,591;Yes;Yes;Yes;
;;;;;;;;;;;
openai / gpt-5-mini;;;;;;;;;;;
File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results;Failure cause
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_16_36_14;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_16_38_13;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_16_40_43;Yes;-579,98;-255,311;1494,863;1427,945;913,917;340,081;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_16_43_34;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_16_45_54;Yes;5,525;286,357;990,021;1294,743;1037,146;225,229;Yes;Yes;No;
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_16_47_06;Yes;4,306;289,991;969,217;1295,02;1037,973;220,497;Yes;Yes;No;
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_16_48_57;Yes;27,83;-68,252;1426,054;1289,668;956,473;324,427;Yes;No;No;Outside ±6 px tolerance: y_px, r_px
